name;ring;quadrant;isNew;status;description
Automated Testing;Adopt;Techniques;FALSE;no change;follows…
DevOps;Adopt;Techniques;FALSE;no change;follows…
Scrum;Adopt;Techniques;FALSE;no change;follows…
Kanban;Adopt;Techniques;FALSE;no change;follows…
Frontend Testing;Adopt;Techniques;FALSE;no change;follows…
CI/CD;Adopt;Techniques;FALSE;no change;follows…
Vibe Coding;Adopt;Techniques;TRUE;moved in;follows…
Snyk;Adopt;Tools;FALSE;no change;follows…
SonarQube;Adopt;Tools;FALSE;no change;follows…
Bitwarden;Adopt;Tools;FALSE;no change;follows…
Github CoPilot;Adopt;Tools;FALSE;no change;follows…
Outline;Adopt;Tools;TRUE;moved in;follows…
Azure;Adopt;Platforms;FALSE;no change;follows…
On Premise;Adopt;Platforms;FALSE;moved out;follows…
.NET 8;Adopt;languages-and-frameworks;FALSE;moved out;follows…
Python;Adopt;languages-and-frameworks;FALSE;no change;follows…
JAVA 21;Adopt;languages-and-frameworks;FALSE;moved out;follows…
Angular 20;Adopt;languages-and-frameworks;FALSE;moved in;follows…
DevSecOps;Trial;Techniques;TRUE;moved in;follows…
Infrastructure as Code;Trial;Techniques;TRUE;moved in;follows…
Cursor IDE (O);Trial;Tools;FALSE;moved out;follows…
Cypress (O);Trial;Tools;FALSE;moved out;follows…
OpenTelemetry;Trial;Tools;TRUE;no change;follows…
Grafana;Trial;Tools;TRUE;no change;follows…
Terraform;Trial;Tools;TRUE;moved in;follows…
Aspire;Trial;Tools;TRUE;no change;follows…
Lobster;Trial;Platforms;TRUE;moved in;follows…
.NET 10;Trial;languages-and-frameworks;TRUE;moved in;follows…
Next.js;Trial;languages-and-frameworks;FALSE;no change;follows…
JAVA 25;Trial;languages-and-frameworks;TRUE;moved in;follows…
FinOps;Assess;Techniques;TRUE;moved in;follows…
Agentic AI;Assess;Techniques;TRUE;moved in;follows…
Trophy Testing;Assess;Techniques;TRUE;moved in;Trophy testing legt de nadruk op integratie testen i.p.v. unit testen. Integratie wordt steeds belangrijker. Alleen de units met complexe logica testen en focussen op de integratie tussen componenten.
Architecture tests;Assess;Techniques;TRUE;moved in;Net als unit tests en integratie tests kan ook de architecture automatisch getest worden. Hiermee worden de architectuur, principes en regels afgedwongen in de applicatie.
Playwright;Assess;Tools;TRUE;moved in;follows…
n8n;Assess;Tools;TRUE;moved in;follows…
Bicep;Assess;Tools;TRUE;moved in;follows…
Model Context Protocol;Assess;Platforms;TRUE;moved in;follows…
.NET MAUI;Assess;languages-and-frameworks;TRUE;moved in;follows…
Nuxt;Assess;languages-and-frameworks;TRUE;moved in;follows…
Vue;Assess;languages-and-frameworks;TRUE;moved in;follows…
Blockchain;Hold;Techniques;FALSE;moved out;Veel tijd en energie in gestoken. Aantal PoCs mee gedaan. Afstuurdeeropdrachten gedaan.
Hackathons gewonnen.
Markt is/was niet klaar om blockchain in te zetten in core processes. Vind technologie wel interessant maar nog te vroeg."
Qodana;Hold;Tools;FALSE;moved out;"Het leek een goed pakket te zijn om de maintainability te meten. Ander voordeel was dat het onderdeel was van JetBrains, dat destijds naar voren werd geschoven.
Het werd afgefloten omdat het in werking te traag was en te duur en SonarQube meer bood op dit gebied en een grotere community had en goedkoper was."
Selenium;Hold;Tools;FALSE;moved out;follows…
React;Hold;languages-and-frameworks;FALSE;moved out;follows…
.NET Framework;Hold;languages-and-frameworks;FALSE;moved out;follows…
Angular <=18;Hold;languages-and-frameworks;FALSE;moved out;follows…
JAVA <21;Hold;languages-and-frameworks;FALSE;moved out;follows…

